o001  u001  0-5981-1479-7  2023-03-01  1  ordered
o002  u002  1-4472-7762-4  2023-03-01  2  ordered
o003  u003  0-3453-9180-2  2023-03-01  1  shipped
o004  u004  1-8609-2012-1  2023-03-02  3  received
o005  u005  0-3854-8680-6  2023-03-02  1  ordered
o006  u001  0-4511-6349-1  2023-03-03  2  shipped
o007  u002  1-8828-1041-6  2023-03-03  1  received
o008  u003  0-3211-4618-8  2023-03-03  1  shipped
o009  u004  0-5960-0708-8  2023-03-04  1  ordered
o010  u005  1-5661-9909-3  2023-03-04  2  shipped
o011  u001  0-6723-2391-1  2023-03-05  1  ordered
o012  u002  0-0728-5320-4  2023-03-05  1  received
o013  u003  0-2016-1622-3  2023-03-05  3  shipped
o014  u004  0-2016-3385-1  2023-03-06  2  received
o015  u005  0-1311-0362-8  2023-03-06  1  shipped
o016  u001  0-5981-1479-7  2023-03-07  1  received
o017  u002  1-4472-7762-4  2023-03-07  2  ordered
o018  u003  0-3453-9180-2  2023-03-07  1  received
o019  u004  1-8609-2012-1  2023-03-08  3  ordered
o020  u005  0-3854-8680-6  2023-03-08  1  shipped
o021  u001  0-4511-6349-1  2023-03-09  2  received
o022  u002  1-8828-1041-6  2023-03-09  1  shipped
o023  u003  0-3211-4618-8  2023-03-09  1  received
o024  u004  0-5960-0708-8  2023-03-10  1  shipped
o025  u005  1-5661-9909-3  2023-03-10  2  ordered
o026  u001  0-6723-2391-1  2023-03-11  1  shipped
o027  u002  0-0728-5320-4  2023-03-11  1  received
o028  u001  0-5981-1479-7  2023-03-01  2  ordered
o029  u002  1-4472-7762-4  2023-03-01  1  ordered
o030  u003  0-3453-9180-2  2023-03-02  3  shipped
o031  u004  1-8609-2012-1  2023-03-02  1  received
